method,metric,n_pairs,delta_mean_cfg_minus_full,delta_ci_low,delta_ci_high,p_value,effect_size_d,p_value_bh_fdr,significant_fdr_0_05
GA,linearity,4,0.0434598016925603,-0.028700265251989404,0.1278064607805987,0.49987503124218946,0.5166816554944139,1.0,False
GA,leniency,4,0.08333333333333334,0.0,0.25,1.0,0.5773502691896257,1.0,False
GA,progression_complexity,4,-0.03372173470117652,-0.06853307880008189,0.0010896093977288412,0.385153711572107,-0.9499604089666185,1.0,False
GA,topology_complexity,4,-0.016717491895675465,-0.05256856739201535,0.019133583600664417,0.5083729067733067,-0.4609518540727245,1.0,False
GA,path_length,4,1.25,-1.0,3.5,0.6223444138965258,0.502518907629606,1.0,False
GA,num_nodes,4,0.5,-2.0,2.5,0.7535616095976005,0.22941573387056174,1.0,False
GA,repair_applied,4,0.0,0.0,0.0,1.0,0.0,1.0,False
GA,generation_constraint_rejections,4,0.0,0.0,0.0,1.0,0.0,1.0,False
GA,candidate_repairs_applied,4,0.0,0.0,0.0,1.0,0.0,1.0,False
GA,novelty_vs_reference,4,0.0025841003041905744,-0.04929287269475247,0.03699310001044212,1.0,0.05523706598825253,1.0,False
GA,graph_edit_distance,4,-0.0023724206224832907,-0.01901775854505779,0.014272917300091208,0.8775306173456636,-0.13895816947275458,1.0,False
GA,generation_time_sec,4,-0.2548723816871643,-0.4081050753593445,-0.05899786949157715,0.24743814046488377,-1.4685811194065952,1.0,False
MAP_ELITES,fitness,4,-0.03771330615291506,-0.10917125244946525,0.020734591614064712,0.5071232191952012,-0.5811945519325848,1.0,False
MAP_ELITES,feasible,4,0.0,0.0,0.0,1.0,0.0,1.0,False
MAP_ELITES,overall_completeness,4,0.0,0.0,0.0,1.0,0.0,1.0,False
MAP_ELITES,constraint_valid,4,0.0,0.0,0.0,1.0,0.0,1.0,False
MAP_ELITES,linearity,4,0.03259637606894792,0.015009269558768981,0.056890134337297844,0.1232191952011997,1.4393300724351843,1.0,False
MAP_ELITES,leniency,4,0.020833333333333343,-0.325,0.3666666666666667,1.0,0.05941025048329328,1.0,False
MAP_ELITES,progression_complexity,4,0.003129558832017071,-0.03396890817648186,0.02384231501454631,1.0,0.09612915693111167,1.0,False
MAP_ELITES,topology_complexity,4,0.01126942646197461,-0.04009429388930036,0.06489769679035232,0.7393151712071983,0.1960791736981152,1.0,False
MAP_ELITES,path_length,4,0.5,0.0,1.0,0.49912521869532617,1.0,1.0,False
MAP_ELITES,num_nodes,4,-1.0,-2.5,1.0,0.5008747813046738,-0.5345224838248488,1.0,False
MAP_ELITES,repair_applied,4,0.0,0.0,0.0,1.0,0.0,1.0,False
MAP_ELITES,generation_constraint_rejections,4,0.0,0.0,0.0,1.0,0.0,1.0,False
MAP_ELITES,candidate_repairs_applied,4,0.0,0.0,0.0,1.0,0.0,1.0,False
MAP_ELITES,novelty_vs_reference,4,0.004264842280146477,-0.03709685430181472,0.04562653886210767,0.8907773056735816,0.10085912394144661,1.0,False
MAP_ELITES,graph_edit_distance,4,-0.006704796642310013,-0.04030321972713277,0.017944678681078352,0.8710322419395151,-0.21547518866423435,1.0,False
MAP_ELITES,generation_time_sec,4,0.2970055341720581,0.08295518159866333,0.5437411665916443,0.12971757060734818,1.2457726681279935,1.0,False
