method,metric,n_pairs,delta_mean_cfg_minus_full,delta_ci_low,delta_ci_high,p_value,effect_size_d,p_value_bh_fdr,significant_fdr_0_05
ES,switch_before_gate_rate,64,-0.005208333333333334,-0.015625,0.0,1.0,-0.1259881576697424,1.0,False
ES,battery_satisfaction_rate,64,0.0,0.0,0.0,1.0,0.0,1.0,False
ES,path_length,64,-0.109375,-0.984765625,0.765625,0.8357910522369407,-0.03051477966067872,1.0,False
ES,num_nodes,64,-2.59375,-4.515625,-0.625,0.009747563109222694,-0.32729205355586627,0.055045062263845805,False
ES,path_redundancy,64,0.025891681337453402,-0.047546052420822646,0.10088624438521036,0.49937515621094725,0.08579950351581403,1.0,False
ES,articulation_ratio,64,-0.051817829974611346,-0.10366044848908326,-0.004967021148039708,0.03899025243689078,-0.2634533402355798,0.1559610097475631,False
ES,branch_utility_rate,64,-0.039322916666666666,-0.0948046875,0.02109375,0.18170457385653588,-0.1738414633823324,0.5814546363409148,False
ES,secret_content_discoverability_rate,64,0.015625,0.0,0.046875,1.0,0.1259881576697424,1.0,False
ES,repair_applied,64,0.0,0.0,0.0,1.0,0.0,1.0,False
ES,generation_constraint_rejections,64,0.0,0.0,0.0,1.0,0.0,1.0,False
ES,candidate_repairs_applied,64,0.0,0.0,0.0,1.0,0.0,1.0,False
ES,novelty_vs_reference,64,-0.015317544351934626,-0.025883741685151524,-0.004011320243432543,0.007498125468632842,-0.3547899304157926,0.04498875281179705,True
ES,graph_edit_distance,64,-0.0004718987201279168,-0.007286813546998235,0.006238972688454215,0.8987753061734567,-0.016297358769593633,1.0,False
ES,generation_time_sec,64,-0.5145741663873196,-0.6923443738371133,-0.3144901820458472,0.00024993751562109475,-0.667289312722586,0.0021812728636022814,True
GA,fitness,64,0.0089700675424128,-0.02834818329040384,0.04659334426592216,0.6538365408647838,0.05813173779710628,1.0,False
GA,feasible_search,64,0.0,0.0,0.0,1.0,0.0,1.0,False
GA,feasible_operational,64,0.015625,0.0,0.046875,1.0,0.1259881576697424,1.0,False
GA,overall_completeness,64,0.00390625,0.0,0.01171875,1.0,0.1259881576697424,1.0,False
GA,constraint_valid,64,0.0,0.0,0.0,1.0,0.0,1.0,False
GA,linearity,64,0.013365133632340896,-0.01931478800358162,0.046661243607402286,0.4506373406648338,0.09854125042877215,1.0,False
GA,leniency,64,-0.06240699404761906,-0.14758835565476192,0.024283389136904712,0.17320669832541866,-0.1724771017534691,0.5733738979048342,False
GA,progression_complexity,64,0.0035706021214691724,-0.003119057775759733,0.010741256369757082,0.34841289677580606,0.12623360063412392,0.9039902186615509,False
GA,topology_complexity,64,0.004197341084969459,-0.00703301434947679,0.015077390878953812,0.44663834041489625,0.09688567154732386,1.0,False
GA,key_before_lock_rate,64,0.0,0.0,0.0,1.0,0.0,1.0,False
GA,switch_before_gate_rate,64,-0.015625,-0.0390625,0.0,0.49412646838290425,-0.1796053020267749,1.0,False
GA,battery_satisfaction_rate,64,0.0,0.0,0.0,1.0,0.0,1.0,False
GA,path_length,64,0.03125,-1.031640625,1.0,0.9745063734066484,0.00745708215674115,1.0,False
GA,num_nodes,64,-1.09375,-2.78125,0.6722656249999979,0.23194201449637591,-0.1534512208027976,0.682738406307514,False
GA,path_redundancy,64,0.034913085280732344,-0.02268982562066201,0.09307609197889528,0.250687328167958,0.1461314683472627,0.7078230442389403,False
GA,articulation_ratio,64,-0.02386580884710759,-0.06445700496227366,0.018162760851076164,0.2779305173706573,-0.14201323294415039,0.7623237047880886,False
GA,branch_utility_rate,64,-0.007031249999999998,-0.049479166666666664,0.042994791666666525,0.7870532366908273,-0.03795344244959325,1.0,False
GA,secret_content_discoverability_rate,64,0.015625,0.0,0.046875,1.0,0.1259881576697424,1.0,False
GA,repair_applied,64,0.0,0.0,0.0,1.0,0.0,1.0,False
GA,generation_constraint_rejections,64,0.0,0.0,0.0,1.0,0.0,1.0,False
GA,candidate_repairs_applied,64,0.0,0.0,0.0,1.0,0.0,1.0,False
GA,novelty_vs_reference,64,-0.011443265508019315,-0.02147805255191206,-0.0017405276902668792,0.02599350162459385,-0.28317650517275156,0.11342618890731862,False
GA,graph_edit_distance,64,-0.004451526921144915,-0.011743217462380174,0.0025993292803979436,0.23469132716820795,-0.15243230054563062,0.682738406307514,False
GA,generation_time_sec,64,-0.24562159925699234,-0.4425984309054911,-0.038076105248183174,0.01949512621844539,-0.2987355842300858,0.09357660584853786,False
MAP_ELITES,fitness,64,-0.010066289886418446,-0.04266123938389704,0.025283719024578117,0.5693576605848538,-0.07241852009448241,1.0,False
MAP_ELITES,feasible_search,64,0.0,0.0,0.0,1.0,0.0,1.0,False
MAP_ELITES,feasible_operational,64,0.015625,0.0,0.046875,1.0,0.1259881576697424,1.0,False
MAP_ELITES,overall_completeness,64,0.00390625,0.0,0.01171875,1.0,0.1259881576697424,1.0,False
MAP_ELITES,constraint_valid,64,0.0,0.0,0.0,1.0,0.0,1.0,False
MAP_ELITES,linearity,64,-0.02844758872460858,-0.06641647214855952,0.009772233226243997,0.15746063484128967,-0.18405206101954902,0.5424358196165244,False
MAP_ELITES,leniency,64,-0.034728422619047614,-0.12278692336309525,0.05401646205357134,0.4496375906023494,-0.0955742012700134,1.0,False
MAP_ELITES,progression_complexity,64,-0.003337349640963854,-0.016590700051674564,0.007661920806756091,0.6033491627093227,-0.06847805514970436,1.0,False
MAP_ELITES,topology_complexity,64,0.0023996501194335834,-0.011156858929967765,0.016032705545619183,0.7228192951762059,0.0434098355647011,1.0,False
MAP_ELITES,key_before_lock_rate,64,0.0,0.0,0.0,1.0,0.0,1.0,False
MAP_ELITES,switch_before_gate_rate,64,0.0,0.0,0.0,1.0,0.0,1.0,False
MAP_ELITES,battery_satisfaction_rate,64,0.0,0.0,0.0,1.0,0.0,1.0,False
MAP_ELITES,path_length,64,-1.171875,-2.046875,-0.171875,0.022994251437140716,-0.2980911738807357,0.10511657799835755,False
MAP_ELITES,num_nodes,64,-1.046875,-2.984765625,0.9375,0.2934266433391652,-0.13503043302937942,0.7824710489044404,False
MAP_ELITES,path_redundancy,64,-0.0068517904685184115,-0.08046336399507355,0.072091668288819,0.8612846788302925,-0.022186528841281663,1.0,False
MAP_ELITES,articulation_ratio,64,-0.05681578151051436,-0.10806327401746456,-0.00670666111640806,0.02999250187453137,-0.28303283775407373,0.12518609478065268,False
MAP_ELITES,branch_utility_rate,64,-0.010937499999999998,-0.05833333333333333,0.044270833333333336,0.6760809797550612,-0.05410233252145015,1.0,False
MAP_ELITES,secret_content_discoverability_rate,64,0.015625,0.0,0.046875,1.0,0.1259881576697424,1.0,False
MAP_ELITES,repair_applied,64,0.0,0.0,0.0,1.0,0.0,1.0,False
MAP_ELITES,generation_constraint_rejections,64,0.0,0.0,0.0,1.0,0.0,1.0,False
MAP_ELITES,candidate_repairs_applied,64,0.0,0.0,0.0,1.0,0.0,1.0,False
MAP_ELITES,novelty_vs_reference,64,0.007371509485742667,-0.003569476835474756,0.019013203496326316,0.20619845038740314,0.16048687744529583,0.6385500399093774,False
MAP_ELITES,graph_edit_distance,64,-0.000643154458210094,-0.006713844258350109,0.00560145551421268,0.8487878030492377,-0.02511253763223256,1.0,False
MAP_ELITES,generation_time_sec,64,-2.284777607768774,-2.494768951460719,-2.0797541164793074,0.00024993751562109475,-2.5697988271398695,0.0021812728636022814,True
